new,host,a,soa,status_code,ns,txt,cdn,cdn-name,cname,mx,aaaa,caa
[x],1.staging-airtableblocks.com,"34.192.12.35, 54.173.163.126, 52.54.41.182, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],109143-20-6.staging-airtableblocks.com,"184.73.80.41, 54.173.163.126, 34.192.12.35, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],111enterprise-bundlesks-vendingtransactions-mq2-okta.data.staging-airtableblocks.com,"184.73.80.41, 54.173.163.126, 52.54.41.182, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-dreambt-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com,"184.73.80.41, 34.192.12.35, 52.54.41.182, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoblogsdomain-bcc738dc-this-blogs.panel.okta.staging-airtableblocks.com,"34.192.12.35, 54.173.163.126, 52.54.41.182, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist-us-east-1.panel.okta.staging-airtableblocks.com,"52.54.41.182, 184.73.80.41, 34.192.12.35, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.beta-panel.okta.staging-airtableblocks.com,"184.73.80.41, 54.173.163.126, 34.192.12.35, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.metrics.panel.okta.staging-airtableblocks.com,"54.173.163.126, 184.73.80.41, 34.192.12.35, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.ns2-panel.okta.staging-airtableblocks.com,"184.73.80.41, 54.173.163.126, 34.192.12.35, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel-miggaiowski.okta.staging-airtableblocks.com,"34.192.12.35, 52.54.41.182, 54.173.163.126, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel-my.okta.staging-airtableblocks.com,"54.173.163.126, 184.73.80.41, 34.192.12.35, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel-product.okta.staging-airtableblocks.com,"52.54.41.182, 34.192.12.35, 184.73.80.41, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.docker-okta.staging-airtableblocks.com,"54.173.163.126, 52.54.41.182, 184.73.80.41, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.okta-ks-vendingtransactions-mq1.staging-airtableblocks.com,"54.173.163.126, 52.54.41.182, 34.192.12.35, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.okta-portal.staging-airtableblocks.com,,"ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.okta.dustinmschroeder.staging-airtableblocks.com,"52.54.41.182, 54.173.163.126, 184.73.80.41, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com,,"ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.okta.tiaabankvoices.staging-airtableblocks.com,"54.173.163.126, 34.192.12.35, 52.54.41.182, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.paneltribunale.okta.staging-airtableblocks.com,"54.173.163.126, 184.73.80.41, 52.54.41.182, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.plotexo.okta.staging-airtableblocks.com,"34.192.12.35, 52.54.41.182, 184.73.80.41, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.popcorn-mobile-panel.okta.staging-airtableblocks.com,"184.73.80.41, 52.54.41.182, 54.173.163.126, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1239.awsdns-26.org, ns-1686.awsdns-18.co.uk, ns-465.awsdns-58.com, ns-569.awsdns-07.net",,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.signin.okta.staging-airtableblocks.com,"184.73.80.41, 54.173.163.126, 52.54.41.182, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1239.awsdns-26.org, ns-1686.awsdns-18.co.uk, ns-465.awsdns-58.com, ns-569.awsdns-07.net",,,,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.spool.okta.staging-airtableblocks.com,"54.173.163.126, 184.73.80.41, 52.54.41.182, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.4ba16751-testnoexistdomain-ks-cdn-mq2-okta-this-exist.panel.okta.staging-airtableblocks.com,"52.54.41.182, 184.73.80.41, 34.192.12.35, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.betaling-testnoexistdomain-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com,"34.192.12.35, 52.54.41.182, 184.73.80.41, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1239.awsdns-26.org, ns-1686.awsdns-18.co.uk, ns-465.awsdns-58.com, ns-569.awsdns-07.net",,,,,,,
[x],1debit.dc-testnoexistdomain-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com,"34.192.12.35, 184.73.80.41, 54.173.163.126, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1239.awsdns-26.org, ns-1686.awsdns-18.co.uk, ns-465.awsdns-58.com, ns-569.awsdns-07.net",,,,,,,
[x],1debit.kardamena.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com,"52.54.41.182, 184.73.80.41, 54.173.163.126, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.preview4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com,"184.73.80.41, 52.54.41.182, 54.173.163.126, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.proxy.panel.okta.staging-airtableblocks.com,"54.173.163.126, 34.192.12.35, 184.73.80.41, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debit.www5b-4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com,"34.192.12.35, 54.173.163.126, 184.73.80.41, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1debitautodiscover.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com,"52.54.41.182, 54.173.163.126, 34.192.12.35, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],1wwwcidersofnewyorkbuffaloks-vendingtransactions-mq2-okta.staging-airtableblocks.com,"52.54.41.182, 54.173.163.126, 184.73.80.41, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],2.staging-airtableblocks.com,"184.73.80.41, 52.54.41.182, 34.192.12.35, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],2016-12-scala-exchange.staging-airtableblocks.com,"52.54.41.182, 34.192.12.35, 184.73.80.41, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],202-happy-number.staging-airtableblocks.com,"34.192.12.35, 52.54.41.182, 54.173.163.126, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],388046658365et.paper.staging-airtableblocks.com,"184.73.80.41, 52.54.41.182, 54.173.163.126, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],81598798.staging-airtableblocks.com,"52.54.41.182, 34.192.12.35, 54.173.163.126, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],a.auth-ns.staging-airtableblocks.com,"54.173.163.126, 184.73.80.41, 34.192.12.35, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],a.staging-airtableblocks.com,"54.173.163.126, 52.54.41.182, 34.192.12.35, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],ac.staging-airtableblocks.com,"34.192.12.35, 52.54.41.182, 54.173.163.126, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],acapi.staging-airtableblocks.com,"34.192.12.35, 52.54.41.182, 54.173.163.126, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],accounting.staging-airtableblocks.com,"184.73.80.41, 34.192.12.35, 52.54.41.182, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],affiliates.staging-airtableblocks.com,"52.54.41.182, 184.73.80.41, 54.173.163.126, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],airtable.com,"3.95.104.131, 3.219.6.31, 54.91.185.70, 107.22.117.134","ns-1899.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"beam-verification=Z9ucVlrllzaQ5SpJiJltJUsYSnHkBBIBjKadv4gsv5gddutH, stripe-verification=528727982b9408fcfaf4799d022aed98e6fe59f7bd19fb80c19eddf770808454, apple-domain-verification=p7c2orfu38a1od5v, google-site-verification=jCY0WH76zs_XUIsPN-CpVMrGxoER14S-qmba5HB-NOw, atlassian-domain-verification=SEoCkU1vByxZ6STi0tknyHIzfSDxB1F6wGGf/phI3fHsyIuu4doRXS/fXd0oadkC, google-site-verification=AqsnhsVuEKjGgLyc8RXu6W3IPYDj-805B5Ofrt4ubp8, MS=ms57543645, google-site-verification=euX05KyKBY2XRY3sMd51MBgkLgWSDt-D6HxEPbJZE4E, docker-verification=d352c009-156f-4f43-a6c9-19c62d5f7f39, drift-domain-verification=25a66e35596d2f8afdc380e147dc2c84a92afd4020ca912c4eece0fe0ba31b07, docusign=48aed6b7-99ce-449e-b576-0e32ac39a3ca, facebook-domain-verification=gfg0qo2au8cywd132m0itehi8rqhfq, onetrust-domain-verification=08cafae7e510435994fd87812abaa805, v=spf1 ip4:159.135.229.248 ip4:159.135.231.62 ip4:69.72.44.244 include:mailgun.org include:_spf.google.com include:mail.zendesk.com include:_spf.salesforce.com include:servers.mcsv.net include:mktomail.com mx ~all, google-site-verification=O-kfeG0vtUgAjQYn-gDpWkYWb_Kl8f3z9OjKswYlDug, google-site-verification=DXt7gC5fDi-TwbqBj4qhJ0xZolvejBEbmsnmAWmid90, google-site-verification=7OYI2dFV51swegn-yfn7A9M6JKMyCLwnwVcoHriMkgw, zapier-domain-verification-challenge=8ee12b84-1c1e-467a-bbbf-a8f5f30f442e",,,,"alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com",,
[x],ak.staging-airtableblocks.com,"34.192.12.35, 184.73.80.41, 52.54.41.182, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],akamai-test-origin.staging-airtableblocks.com,,"ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],akamai-test.staging-airtableblocks.com,"34.192.12.35, 184.73.80.41, 54.173.163.126, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],akamai.staging-airtableblocks.com,"184.73.80.41, 34.192.12.35, 54.173.163.126, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],alt.staging-airtableblocks.com,"52.1.221.67, 54.166.40.131, 23.23.75.34, 35.171.113.52, 54.152.99.5, 52.4.163.186","ns-676.awsdns-20.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1209.awsdns-23.org, ns-1709.awsdns-21.co.uk, ns-379.awsdns-47.com, ns-676.awsdns-20.net","heritage=external-dns,external-dns/owner=ext-dns-staging-liveServing-003,external-dns/resource=ingress/default/block-router-service",,,,,,
[x],americas.staging-airtableblocks.com,"54.173.163.126, 34.192.12.35, 52.54.41.182, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1239.awsdns-26.org, ns-1686.awsdns-18.co.uk, ns-465.awsdns-58.com, ns-569.awsdns-07.net",,,,,,,
[x],announce.staging-airtableblocks.com,"34.192.12.35, 52.54.41.182, 184.73.80.41, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1239.awsdns-26.org, ns-1686.awsdns-18.co.uk, ns-465.awsdns-58.com, ns-569.awsdns-07.net",,,,,,,
[x],ao.staging-airtableblocks.com,"52.54.41.182, 54.173.163.126, 34.192.12.35, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],ap.staging-airtableblocks.com,"184.73.80.41, 52.54.41.182, 54.173.163.126, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],apache.staging-airtableblocks.com,"184.73.80.41, 34.192.12.35, 54.173.163.126, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1239.awsdns-26.org, ns-1686.awsdns-18.co.uk, ns-465.awsdns-58.com, ns-569.awsdns-07.net",,,,,,,
[x],api-deprecated-staging.airtable.com,,"ns-140.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-140.awsdns-17.com, ns-1469.awsdns-55.org, ns-1722.awsdns-23.co.uk, ns-668.awsdns-19.net",,,,,,,
[x],api-future-staging.airtable.com,,"ns-12.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-12.awsdns-01.com, ns-912.awsdns-50.net, ns-1061.awsdns-04.org, ns-1908.awsdns-46.co.uk",,,,,,,
[x],api-staging.airtable.com,"54.163.247.109, 34.204.159.194","ns-345.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1209.awsdns-23.org, ns-1997.awsdns-57.co.uk, ns-345.awsdns-43.com, ns-520.awsdns-01.net",loaderio=17b477c5587abbcc0b8a9b7e637ce772,,,,,,
[x],api-tlsv1-staging.airtable.com,,"ns-1525.awsdns-62.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1940.awsdns-50.co.uk, ns-419.awsdns-52.com, ns-581.awsdns-08.net, ns-1525.awsdns-62.org",,,,,,,
[x],api.airtable.com,"52.71.19.169, 18.205.166.174, 54.227.66.176, 44.207.183.105, 44.205.137.174, 54.236.145.9","ns-1899.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],api.staging-airtableblocks.com,"54.173.163.126, 34.192.12.35, 52.54.41.182, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],api2.airtable.com,"52.206.63.30, 52.44.137.230, 107.22.19.87","ns-1899.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],apiextractor.staging-airtableblocks.com,"34.192.12.35, 54.173.163.126, 184.73.80.41, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],app.staging-airtableblocks.com,"34.192.12.35, 184.73.80.41, 52.54.41.182, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],apps.staging-airtableblocks.com,"54.173.163.126, 52.54.41.182, 34.192.12.35, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],asm2mmc.staging-airtableblocks.com,"54.173.163.126, 184.73.80.41, 34.192.12.35, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],assembly-tutorial.staging-airtableblocks.com,"34.192.12.35, 52.54.41.182, 54.173.163.126, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],assets.staging-airtableblocks.com,"54.173.163.126, 184.73.80.41, 34.192.12.35, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],assign15.staging-airtableblocks.com,"184.73.80.41, 52.54.41.182, 54.173.163.126, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],atlanta.staging-airtableblocks.com,"184.73.80.41, 52.54.41.182, 54.173.163.126, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],auth.staging-airtableblocks.com,"184.73.80.41, 52.54.41.182, 54.173.163.126, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],authentication-okta.staging-airtableblocks.com,"54.173.163.126, 52.54.41.182, 34.192.12.35, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],autoconfig.staging-airtableblocks.com,"52.54.41.182, 34.192.12.35, 184.73.80.41, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],autodiscover.staging-airtableblocks.com,"34.192.12.35, 54.173.163.126, 52.54.41.182, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],awsdashboard.staging-airtableblocks.com,"52.54.41.182, 34.192.12.35, 54.173.163.126, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],aypickerdataview.staging-airtableblocks.com,"34.192.12.35, 184.73.80.41, 54.173.163.126, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],b.staging-airtableblocks.com,"52.54.41.182, 34.192.12.35, 184.73.80.41, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],b01.staging-airtableblocks.com,"34.192.12.35, 54.173.163.126, 184.73.80.41, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1239.awsdns-26.org, ns-1686.awsdns-18.co.uk, ns-465.awsdns-58.com, ns-569.awsdns-07.net",,,,,,,
[x],ba.staging-airtableblocks.com,"184.73.80.41, 52.54.41.182, 34.192.12.35, 54.173.163.126","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1239.awsdns-26.org, ns-1686.awsdns-18.co.uk, ns-465.awsdns-58.com, ns-569.awsdns-07.net",,,,,,,
[x],basic-nodejs-dev.staging-airtableblocks.com,"54.173.163.126, 184.73.80.41, 34.192.12.35, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],basic.staging-airtableblocks.com,"34.192.12.35, 54.173.163.126, 184.73.80.41, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1239.awsdns-26.org, ns-1686.awsdns-18.co.uk, ns-465.awsdns-58.com, ns-569.awsdns-07.net",,,,,,,
[x],bbs.staging-airtableblocks.com,"54.173.163.126, 184.73.80.41, 52.54.41.182, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1239.awsdns-26.org, ns-1686.awsdns-18.co.uk, ns-465.awsdns-58.com, ns-569.awsdns-07.net",,,,,,,
[x],beta.staging-airtableblocks.com,"34.192.12.35, 184.73.80.41, 54.173.163.126, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],betalingks-client-mq2-okta.staging-airtableblocks.com,"54.173.163.126, 34.192.12.35, 52.54.41.182, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],beyondvirus.staging-airtableblocks.com,"184.73.80.41, 54.173.163.126, 34.192.12.35, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],blog.airtable.com,"108.138.17.118, 108.138.17.34, 108.138.17.110, 108.138.17.24","ns-1899.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,
[x],blog.staging-airtableblocks.com,"54.173.163.126, 52.54.41.182, 34.192.12.35, 184.73.80.41","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],blogs.staging-airtableblocks.com,"184.73.80.41, 54.173.163.126, 34.192.12.35, 52.54.41.182","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],bonappetit-server-menu-management.staging-airtableblocks.com,"52.54.41.182, 54.173.163.126, 184.73.80.41, 34.192.12.35","ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
